Charc,Movie
,Balwinder Singh Famous Ho Gaya
",Jackie Shroff,Naseeruddin Shah,Varsha Usgaonkar,Nagma",Hasti
",Arvind Swamy,Juhi Chawla,Anupam Kher,Farida Jalal,Aruna Irani,Mohanlal,Satish Shah,K. S. Ravikumar,Rajinikanth",Saat Rang Ke Sapne
",Vinay Pathak,Tusshar Kapoor,Ranvir Shorey,Dolly Ahluwalia",Bajatey Raho
",Hema Malini,Ashok Kumar,Rajesh Khanna",Janata Havaldar
",Shashi Kapoor,Lata Mangeshkar,Raj Kapoor,Zeenat Aman,Hema Malini,Vidya Sinha,Sheila Chandra,Dimple Kapadia",Satyam Shivam Sundaram
",Dev Anand,Hrishikesh Mukherjee,Keshto Mukherjee,Leela Chitnis,Rekha,Hasrat Jaipuri,Mohammed Rafi,Sandhya Roy,Amitabh Bachchan",Asli Naqli
",Vinglish Sridevi,Amitabh Bachchan,Meryl Streep",English Vinglish
",Sanjay Suri,Juhi Chawla,Urmila Matondkar,Yashpal Sharma,Mithoon",Bas Ek Pal
",Akshay Kumar,Mahima Chaudhry,Mukesh Rishi,Alok Nath,Gulshan Grover,Riya",Khiladi 420
",Malcolm X,René Descartes",X
",Professor Sir Patrick Bateson,Sir John Polkinghorne,Sir Alexander Fleming,Sidney Poitier",Sir
",Kader Khan,Anupam Kher,Aruna Irani,Umar,Gulshan Grover",Umar 55 Ki Dil Bachpan Ka
",Kapil,Archana Puran Singh,Naseeruddin Shah,Remo Fernandes,Eddie Murphy,Kamini Kaushal",Jalwa
",Darsheel Safary,Walt Disney,Robert Koehler,Javed Akhtar",Zokkomon
",Charlie Chaplin,Virginia Cherrill,James Agee,Arthur Johnston,Florence D. Lee,Orson Welles,Charles Lederer,Eugene Augustin Lauste",City Lights
",Raj Kanwar,Shah Rukh Khan,Salman Khan,Preity Zinta,Rani Mukerji,Anu Malik,Mohanlal",Har Dil Jo Pyar Karega
",Vidhu Vinod Chopra,Rajkumar Hirani,Sanjay Dutt,Manmohan Singh",Lage Raho Munna Bhai
",Vinod Mehra,Sunil Dutt,Reena Roy,Moushumi Chatterjee",Umar Qaid
",Karishma Kapoor,Harish Kumar,Bharat Bhushan,Chandra Mohan,Dalip Tahil,Paresh Rawal,Shafi Inamdar",Prem Qaidi
",Shah Rukh Khan,Madhuri Dixit,Naseeruddin Shah,Ashish Vidyarthi,Bhupen Hazarika,Farida Jalal,Mohan Agashe,A. R. Rahman,Shilpa Shirodkar",Gaja Gamini
",M.K. Raina,Raakhee,Hariprasad Chaurasia,Bansi Chandragupta",27 Down
",Dimple Kapadia,Dharmendra",Dushman Devta
,Shodh
,Hunterrr
",Dimple Kapadia,Shakti Kapoor,David Dhawan,Sunny Deol",Aag Ka Gola
",Vivek Oberoi,Aftab Shivdasani,Indra Kumar,Anupama Chopra,Sachin Tendulkar",Masti
",R. Madhavan,Sanjay Suri,Namrata Shirodkar,Dipannita Sharma,Jimmy Shergill,R.D. Burman,Vivek Vaswani,Sonali Kulkarni,Raj Kapoor,Abhijeet Bhattacharya,Hrishitaa Bhatt,Mahima Chaudhry,Sadhna Sargam,Sunidhi Chauhan",Dil Vil Pyar Vyar
",Christian Vieri,Kobe Bryant,Kevin-Prince Boateng,Prince Aga Khan IV,Rafael Benítez",Satta
",Vinod Khanna,Dimple Kapadia,Jackie Shroff",Aakhri Adaalat
",Rohit Shetty,Kareena Kapoor,Ajay Devgan,Anupam Kher,Amole Gupte",Singham Returns
",Sanjay Dutt,Dilip Kumar,Kader Khan,Anupam Kher,Bappi Lahiri,Gulshan Grover",Kanoon Apna Apna
",Karan Johar,Preity Zinta,Amitabh Bachchan,Arjun Rampal,Rani Mukerji,Shah Rukh Khan,Javed Akhtar,Abhishek Bachchan,Kajol,Kirron Kher",Kabhi Alvida Naa Kehna
",Vinod Mehra,Mithun Chakraborty",Ustadi Ustad Se
",William Herschel,Friedrich Bessel,Geminiano Montanari,Giordano Bruno,Hipparchus,Ptolemy,Karl Schwarzschild,Cecilia Payne-Gaposchkin,John Herschel,Angelo Secchi,Edmond Halley,Johann Bayer,John Flamsteed,Albert A. Michelson,Friedrich Georg Wilhelm",Star
",Juhi Chawla,Himesh Reshammiya",Aamdani Atthani Kharcha Rupaiyaa
",Sridevi,Anil Kapoor,Amrish Puri,Satish Kaushik,Sharat Saxena,Shekhar Kapur,Ashok Kumar,Boney Kapoor,Yunus Parvez,Harish Patel",Mr. India
",Dilip Kumar,Waheeda Rehman,Pran,Shakeel Badayuni,Nirupa Roy,Mala Sinha",Ram Aur Shyam
",Naseeruddin Shah,Mrinal Sen,Shabana Azmi",Khandhar
",Mallika Sherawat,Asha Bhosle",Khwahish
",Rohit Roy,Karishma Kapoor,Shakti Kapoor,Shah Rukh Khan,Johnny Lever,Bobby Deol,William Hurt,Sigourney Weaver,Anu Malik,Majrooh Sultanpuri,Raj Zutshi",Hum To Mohabbat Karega
",Shweta Tiwari,Tanveer Khan,Kangana Ranaut",Miley Naa Miley Hum
",Mandira Bedi,Anil Kumble,Anupam Kher,Mahesh Manjrekar,Eijaz Khan",Meerabai Not Out
",Madhuri Dixit,Jackie Shroff,Sanjay Dutt,Subhash Ghai,Saroj Khan,Anand Bakshi,Alka Yagnik,Ila Arun",Khalnayak
",Atul Agnihotri,Jackie Shroff,Ayesha Jhulka,Kajol",Hote Hote Pyar Ho Gaya
,Cocktail
",Nasir Hussain,Padmini Kolhapure,Rishi Kapoor,Amjad Khan,Kader Khan,Simple Kapadia,Yogeeta Bali,Majrooh Sultanpuri,Asha Bhosle,Mohammad Rafi",Zamaane Ko Dikhana Hai
",Monica Bedi,Sunil Shetty,Deepak Bahry",Kaala Samrajya
",Paresh Rawal,Akshaye Khanna,Genelia D'Souza,Manoj Joshi,Rajpal Yadav,Om Puri,Naseeruddin Shah",Mere Baap Pehle Aap
",Rinke Khanna,Sanjay Jha,Mahesh Manjrekar",Pran Jaye Par Shaan Na Jaye
",Kareena Kapoor,Tusshar Kapoor,Anu Malik,Satish Kaushik,Vashu Bhagnani",Mujhe Kucch Kehna Hai
",Mani Ratnam,Ilaiyaraaja,Rajinikanth,Jaishankar,Aravind Swamy,Saif Ali Khan,G. Venkateswaran,Charuhasan",Thalapathi
,Shanghai
",Akku Akbar,Rituparna Sen Gupta,Atul Kulkarni,Shivani",Gauri: The Unborn
",Pooja Batra,Karisma Kapoor,Sanjay Dutt,Paresh Rawal,Aruna Irani,Anupam Kher,Kader Khan,Shakti Kapoor,Shashi Kapoor,David Dhawan,Ashish Vidyarthi,Anu Malik,Satish Kaushik,Babita",Haseena Maan Jaayegi
",Priyanka Chopra,Yash Chopra,Irrfan Khan,Joginder Tuteja,Anupama Chopra",Gunday
,Hawaa Hawaai
",Parmeet Sethi,Amrish Puri,Harry Baweja,Sonali Bendre,Karan Razdan,Shakti Kapoor,Juhi Chawla,Farida Jalal,Gulshan Grover,Madhoo",Diljale
",Sanjay Suri,Naseeruddin Shah,Raghubir Yadav,Paresh Rawal,Tisca Chopra,Nawazuddin Siddiqui,Shahana Goswami,A. Sreekar Prasad,Nandita Das,Nassar",Firaaq
",Sangeeta,Jeetendra,Divya Bharti,Jaya Prada,Kader Khan,Gulshan Grover",Sapnon Ka Mandir
",Kay Kay Menon,Sonali Kulkarni,Vinay Pathak,Robin Dutt,Rajat Kapoor,Sandhya Mridul,Sunidhi Chauhan,Kunal Ganjawala",Via Darjeeling
",Durga Puja",Bandhan
",Sanjay Dutt,B.P. Verma",Naam O Nishan
",Deepa Sahi,Vinay Pathak,Riya Sen,Ketan Mehta,Anup Jalota,Sushmita Mukherjee,Darshan Jariwala",Tere Mere Phere
",Farha Naaz,Sunny Deol,Kulbhushan Kharbanda,Danny Denzongpa,J. P. Dutta",Yateem
",Jaya Bachchan,Govind Nihalani,Anupam Kher,Nandita Das,Seema Biswas,Mahasweta Devi",Hazaar Chaurasi Ki Maa
",Dharamvir Bharati",Gunahon Ka Devta
",Vinod Mehra,Shakti Kapoor,Mithun Chakraborty,Padmini Kolhapure,Tanvi Azmi",Pyari Behna
",Abhishek Bachchan",Chittagong (film)
",Hari Mithun Chakraborty,Rakesh Roshan,Deven Verma,Sridevi,J. V. Somayajulu",Jaag Utha Insan
",Ranbir Kapoor,Rajkumar Santoshi,Katrina Kaif,Salman Khan,Darshan Jariwala,Upen Patel",Prem Kahani
",Smita Patil,Raj Babbar,Om Puri,Poonam Dhillon",Hum Farishte Nahin
,Saudagar
",Balraj Sahni,Juhi Chawla,Pandari Bai,Bhanupriya",Bhabhi
",Lucky Ali,M. M. Kreem,Divya Dutta",Sur: The Melody of Life
",Shah Rukh Khan,Amjad Khan,Anil Kapoor,Sanjeev Kumar,Lucky Ali",Hamare Tumhare
",Mohammad,Ali",Silsila
",Amrish Puri,Om Puri,Smita Patil,Govind Nihalani,Sadashiv Amrapurkar,Vijay Tendulkar,Dilip Chitre,Naseeruddin Shah",Ardh Satya
",Abdul Rehman,Raj Kapoor,Manmohan Desai,Fyodor Dostoyevsky,Nutan",Chhalia
",Boman Irani,Akshaye Khanna,Sunil Shetty",Delhi Safari
",Raveena Tandon,Akshay Kumar",Police Force: An Inside Story
",Shah Rukh Khan,Farah Khan,Om Prakash,Manoj Kumar,Deepika Padukone,Gauri Khan,Javed Akhtar,Arjun Rampal,Shreyas Talpade,Sandeep Chowta",Om Shanti Om
",Hema Malini,Amitabh Bachchan,Shakti Kapoor,Amjad Khan,Ranjeeta Kaur",Satte Pe Satta
",Shyam Benegal,Shreyas Talpade,Amrita Rao,Ila Arun,Shantanu Moitra,Divya Dutta,Kunal Kapoor,Rajeshwari Sachdev",Welcome to Sajjanpur
,Plan
",Amitabh Bachchan,Prakash Mehra,Bappi Lahiri,Jaya Prada,Bharat Bhushan,Kishor Kumar,Runa Laila,Om Prakash,Suresh Oberoi",Sharaabi
",Sheela,Mohammed Rafi,Asha Bhosle,Mahendra Kapoor",Toofan Aur Bijlee
",Shashi Kapoor,Hema Malini,Mithun Chakraborty,Shatrughan Sinha,Meenakshi Sheshadri,Danny Denzongpa,Sheela",Aandhi-Toofan
,404
",Lata Mangeshkar",Parasmani
",Reena Roy,Ashok Kumar,Jeetendra,Dasari Narayana Rao,Akkineni Nageswara Rao,Rekha,Prem Chopra,Sridevi,Vinod Mehra",Prem Tapasya
",Saurabh Shukla,Vijay Raaz,Jackie Shroff,Lilette Dubey,Aadesh Shrivastav",Hari Puttar: A Comedy of Terrors
",Ramachandra,Sonali Bendre,A. R. Rahman,Kathir,Anupam Kher,A.M. Rathnam,Nassar,Chinni Jayanth,Kunal,P. C. Sriram",Dil Hi Dil Mein
",Lord Rama,Reshmi Ghosh",Mahabali Hanuman
",Sanjay Gandhi,Indira Gandhi,Manohar Singh,Shabana Azmi",Kissa Kursi Ka
",Rakesh Roshan,Hrithik Roshan,Rajesh Roshan,Vivek Oberoi,Kangana Ranaut,Priyanka Chopra,Honey Irani",Krrish 3
",Hema Malini,Amitabh Bachchan,C.V. Sridhar,Jeetendra",Gehri Chaal
",Shashi Kapoor,Aruna Irani,Ravindra Jain,Danny Denzongpa,Madan Puri,Asrani,Shabana Azmi,Asit Sen",Fakira
",Basu Chatterjee,Amol Palekar,Vidya Sinha,Salil Chaudhury,Mallika Sarabhai,Amitabh Bachchan,Aparna Sen",Rajnigandha
",Shahrukh Khan,Sushmita Sen",Dulha Mil Gaya
",Akshay Kumar,Sanjay Dutt,John Abraham,Chitrangada Singh,Deepika Padukone,Anushka Sharma,David Dhawan,Sonam Kapoor,Adam Sandler",Desi Boyz
,Rahul's Arranged Marriage
",Zayed Khan,Anand Kumar,Anupam Kher",Sharafat Gayi Tel Lene
",Rishi Kapoor,Rekha,Jeetendra,Kimi Katkar,Tatineni Rama Rao,Poonam Dhillon,Pran",Dosti Dushmani
",Piyush Jha",King of Bollywood
",Shahid Kapoor,Ileana D'Cruz,Rajkumar Santoshi,Padmini Kolhapure,Yunus Parvez,Mika Singh,Darshan Jariwala,Saurabh Shukla,Benny Dayal",Phata Poster Nikla Hero
",Reena Roy",Jaise Ko Taisa
",Akkineni Nageswara Rao,S. V. Ranga Rao,Kadiri Venkata Reddy,Singeetam Srinivasa Rao,Marcus Bartley,Dasari Narayana Rao,Pingali Nagendrarao",Maya Bazaar
,Gangster
",Zeenat Aman,Anand Bakshi,Pradeep Kumar,A. K. Hangal",Kalabaaz
",Seema Biswas,Vikram Singh",Mumbai Godfather
",Adhyayan Suman,Sharat Saxena",Luckhnowi Ishq
",Juhi Chawla,Rinke Khanna,Shayan Munshi,Sanjay Suri,Rahul Bose,Riya Sen,Sujoy Ghosh",Jhankaar Beats
",Vijayadan Detha",Duvidha
",Mohan Bhargava,Shah Rukh Khan,Ashutosh Gowariker,Javed Akhtar,A. R. Rahman,Gayatri Joshi,Lekh Tandon",Swades
",Arjun Rampal,Dia Mirza,Vinod Khanna,Smita Jaykar,Aadesh Shrivastava",Deewaanapan
,Chandi Sona
",Shabana Azmi,Vishal Bhardwaj,Shweta Basu Prasad,Vijay Raaz",Makdee
",Tony Manero,John Travolta,Sylvester Stallone,Norman Wexler,Robert Stigwood,Frank Stallone,Kevyn Morrow,Roger Ebert,Donna Pescow,Finola Hughes,Joyce Hyser,Julie Bovasso,Cynthia Rhodes",Staying Alive
",Mithun Chakraborty,Dharmendra,Deepak Bahry,Shatrughan Sinha,Kimi Katkar",Hum Se Na Takrana
",Naseeruddin Shah,Anuradha Patel,Gulzar,Rekha,Shammi Kapoor,Asha Bhosle,Shashi Kapoor",Ijaazat
",Salman Khan,Sohail Khan,Aamir Khan,Anupama Chopra,Sunil Shetty,Genelia D'Souza",Jai Ho
",Rishi Kapoor,Satish Shah,Shoma Anand,Namitha",Love Ke Chakkar Mein
",Amit Trivedi,Rachel Portman,Shobha Kapoor,O. Henry",Lootera
",Saif Ali Khan,Twinkle Khanna,Chunky Pandey,Michael J. Fox,Mahesh Bhatt",Yeh Hai Mumbai Meri Jaan
",Parvin Dabas,Tannishtha Chatterjee,Suhasini Mulay",Jalpari: The Desert Mermaid
",Kunal,Kunal Khemu,Emraan Hashmi,Amrita Singh,Mahesh Bhatt,Anu Malik,Sunny Leone,Ashutosh Rana",Kalyug
",Minissha Lamba,Zayed Khan,Isha Sharvani,Vikram Singh",Rocky  The Rebel
",Dev Anand,Hema Malini,Prem Chopra,Vikram Singh,S.D. Burman,A. K. Hangal",Chhupa Rustam
",Mandira Bedi,Virendra Saxena,Ashutosh Rana,Chaitanya Choudhury,Tom Alter,Roshni Chopra",Aahat
",Augustus de Morgan,Charles Lutwidge Dodgson,Ferdinand von Lindemann,Aristophanes,Srinivasa Ramanujan,Alexander Pope,Archimedes,James Gregory,E. W. Hobson,Johann Heinrich Lambert,Thomas Hobbes,Arnaut Daniel",The Square Circle
",Kareena Kapoor,Lara Dutta,Akshay Kumar,Juhi Chawla,Kiran Kumar,Bobby Deol,Lillete Dubey,Amisha Patel,Suneel Darshan,Sherlyn Chopra",Dosti: Friends Forever
",Smita Patil,Supriya Pathak,Mithun Chakraborty,Gulshan Grover,Suresh Oberoi,Meenakshi Sheshadri,Raghu,Aruna Irani",Dilwaala
,Zameer
",Balu Mahendra,Ramesh Aravind,Revathi Menon,Heera Rajgopal",Aur Ek Prem Kahani
",Amrita Singh,Bappi Lahiri,Jeetendra,Rajnikanth",Tamacha
",Chunky Pandey,Shibu Mitra,Vinod Mehra,Shatrughan Sinha,Moushumi Chatterjee",Aag Hi Aag
",Shah Jahan",Lahore
",Jackie Shroff,Ramya Krishna,Mithun Chakraborty",Shapath
",Paresh Rawal,Priyadarshan,Rajpal Yadav,Sudha Chandran,Shreyas Talpade",Malamaal Weekly
",Vivek Shauq,Raj Zutshi,Kareena Kapoor,Shahid Kapoor,Akshaye Khanna,Paresh Rawal,Payal Rohatgi,Upen Patel,Johnny Lever,Subhash Ghai,Vivek Vaswani,Himesh Reshammiya",36 China Town
",Dasari Narayana Rao,Rajesh Khanna,Reena Roy",Asha Jyoti
",Kabir Mukherjee,Manjari Fadnis,Sunny Deol,Rajit Kapoor",Rok Sako To Rok Lo
",Reema Sen,Paresh Rawal,Ajay Devgan,Bipasha Basu,Akshaye Khanna",Aakrosh
",Amitabh Bachchan,Sukumar Sinha,Jaya Bachchan,Sharmila Tagore,Keshto Mukherjee,S. D. Burman,Om Prakash,Hrishikesh Mukherjee,Dharmendra,David Abraham Cheulkar,Anand Bakshi,Kishore Kumar,Mohammed Rafi",Chupke Chupke
",Hrithik Roshan,Priyanka Chopra,Rekha,Tony Ching,Archana Puran Singh",Krrish
",Mohan Joshi,Shah Rukh Khan,Juhi Chawla,Aziz Mirza,Paresh Rawal,Javed Akhtar,Dalip Tahil,Johnny Lever,Aadesh Shrivastava,Satish Shah",Phir Bhi Dil Hai Hindustani
",Esha Deol,Akshay Kapoor,Hrithik Roshan,Saif Ali Khan,Arjun Sablok",Na Tum Jaano Na Hum
",Karisma Kapoor,Saif Ali Khan,Salman Khan,Anil Kapoor,David Dhawan,Sushmita Sen,Manisha Koirala,Anu Malik,Sanjay Dutt",Biwi No.1
",Karan Nath,Dino Morea,Anu Malik,Simone Singh,Tanisha",Sssshhh...
",Mary Cassatt,Jacob M. Appel",Mother
",Amole Gupte,Divya Dutta,Raj Zutshi,Anupama Chopra",Stanley Ka Dabba
",Shivani",Takkar
",Rajesh Khanna,Raza Murad,Aryan Vaid",Riyasat
",Sunny Deol,Bobby Deol,Dharmendra,Rekha,Salman Khan",Deewana
",Rao Gopal Rao,Sirivennela Sitarama Sastry,Rajani",Coolie No. 1
",Lakshman Singh,Mahasweta Devi,Amjad Khan,Bhupen Hazarika,Raghuveer Yadav,Dimple Kapadia,Raj Babbar,Sushmita Mukherjee",Rudaali
",Ram,Jackie Shroff,Poonam Dhillon,Shankar Nag,Sadashiv Amrapurkar,Satyen Kappu",Teri Meherbaniyan
",Madan Puri,Ravindra Jain,Lekh Tandon,Tarachand Barjatya,Viju Khote",Dulhan Wahi Jo Piya Man Bhaaye
",Shah Rukh Khan,Ali Zafar,Amit Trivedi,Kunal Kapoor",Zindagi
",Rajpal Yadav,Shilpa Shetty,Ram Gopal Varma,Sayaji Shinde,Shah Rukh Khan,Raveena Tandon",Shool
",Revathi,V. Priya",Mitr My Friend
",Himesh Reshammiya",Aabra Ka Daabra
",Soha Ali Khan,Arshad Warsi,Babul Supriyo,Jaaved Jaffrey,Geeta Basra,Kunal Khemu,Vijay Raaz,Kapil",Mr Joe B. Carvalho
",Rajesh Khanna,Jaya Prada,Kishore Kumar,Asha Bhonsle,Madan Puri,Rakesh Roshan,Shakti Samanta,Supriya Pathak,Suresh Oberoi,Prem Chopra",Awaaz
,Beqasoor
",Rishi Kapoor,Zeenat Aman,Amjad Khan,Ranbir Kapoor,Nasir Hussain,Mohammad Rafi,Jalal Agha,Tom Alter,Om Shivpuri,Majrooh Sultanpuri",Hum Kisise Kum Nahin
,Honeymoon
",Anil Kapoor,Salman Khan,Juhi Chawla,Shakti Kapoor,Johnny Lever,Anupam Kher,Saeed Jaffrey,Kader Khan,Raj Kumar,Manmohan Desai,Raveena Tandon,David Dhawan,Satish Kaushik,Reema Lagoo",Deewana Mastana
",Prashant Narayanan,Shweta Pandit",Cigarette Ki Tarah
,Aaj Ka Ravan
",Farooq Sheikh,Jackky Bhagnani,Anupama Chopra,Sneha Khanwalkar,Neha Sharma,Rahul Gandhi",Youngistaan
",Mithun Chakraborty,Shakti Samanta,Rajesh Khanna,Utpal Dutt,Sadashiv Amrapurkar",Aar Paar (1985 film)
",Akshay Kumar,Imran Khan,Sonali Bendre,Shah Rukh Khan,Ekta Kapoor,Amar Akbar Anthony,Rohit Shetty,Al Pacino",Once Upon Ay Time In Mumbai Dobaara!
",Julie Fernandez,Shivani,Anupam Kher,Shreyas Talpade,Jackie Shroff,Riya Sen,Chunky Pandey,Sunil Shetty,Rajpal Yadav,Koena Mitra,Bobby Darling,Sangeeth Sivan,Subhash Ghai",Apna Sapna Money Money
",Rajesh Khanna,Saritha,Kishore Kumar,Shashi Kapoor",Alag Alag
,Jodi Kya Banayi Wah Wah Ramji
",Gautham Menon,A. R. Rahman,Javed Akhtar,Anthony Gonsalves,Ramesh Sippy,Manu Rishi",Ekk Deewana Tha
",Hrithik Roshan,Karisma Kapoor,Khalid Mohammed,Jaya Bachchan,Shah Rukh Khan,Amitabh Bachchan,Murad Khan,Anu Malik,Johnny Lever",Fiza
",Himesh Reshammiya,Anant Mahadevan,Irrfan Khan,Palak Muchhal,Shabbir Ahmed",The Xpose
",Maharishi Mahesh Yogi",Diksha
",B. Saroja Devi,Leena Chandavarkar,Jeetendra,Chiranjeevi",Humjoli
,Khap
",Vidhu Vinod Chopra,Bobby Deol,Anu Malik,Shammi Kapoor,Sushma Seth,Johnny Lever",Kareeb
",Shakti Kapoor,Kareena Kapoor,Paresh Rawal,Arshad Warsi,Amrish Puri,Jackie Shroff,Akshaye Khanna,Sunil Shetty,Farha Naaz,Arbaaz Khan,Sharad Kelkar",Hulchul
",Mithun Chakraborty,Pooja Bedi,Prem Chopra,Aditya Pancholi",Military Raaj
",Vinod Mehra,Shakti Kapoor,Padmini Kolhapure,Mithun Chakraborty,Shafi Inamdar,Dina Pathak",Hum Intezaar Karenge
",Smita Patil,Dr. Jabbar Patel,Lata Mangeshkar,Girish Karnad",Umbartha
",Inspector Arjun Singh,Raveena Tandon,Jean-Claude Van Damme,Danny Denzongpa,Sunil Shetty,Om Puri",Vinashak - Destroyer
",Paresh Rawal,Akshay Kumar,Sunil Shetty,Raveena Tandon,Naseeruddin Shah,Rajiv Rai,Raza Murad,Sadashiv Amrapurkar,Gulshan Grover,Priya Tendulkar",Mohra
",Dev Anand,Zeenat Aman,Anand Bakshi,Asha Bhosle,Kishore Kumar",Hare Rama Hare Krishna
",Jeetendra",Aakhri Daao
",Priyanka Chopra,Harman Baweja,Harry Baweja,Kareena Kapoor,Boman Irani,Anu Malik",Love Story 2050
",Salman Khan,Ranbir Kapoor,Amit Trivedi,Ronnie Screwvala",Chillar Party
",Amitabh Bachchan,Heera heeds Dharmendra,Anupam Kher,Soundarya,Jayasudha,Sarath Kumar,Anu Malik",Sooryavansham
",Saroja Devi,Shammi Kapoor,Nasir Hussain",Preet Na Jane Reet
",Arshad Warsi,Jackky Bhagnani,Vashu Bhagnani,Darshan Jariwala,Steve Pink,Atif Aslam",F.A.L.T.U
",Soha Ali Khan,Abhishek Bachchan,Jackie Shroff,Raima Sen,Rituparno Ghosh",Antarmahal
",Hema Malini,Pran",Tum Haseen Main Jawaan
",Raj Kapoor,Rishi Kapoor,Padmini Kolhapure",Prem Rog
",Jackie Shroff,Ramya Krishna,Mithun Chakraborty",Shapath (1997 film)
,Thanks Maa
",Juhi Chawla",Bewaffa Se Waffa
",Priyanka Chopra,Abhishek Bachchan,John Abraham,Kunal,Karan Johar,Tarun Mansukhani,Manish Malhotra,Hiroo Yash Johar,Shilpa Shetty",Dostana
",Raj Kumar Santoshi,Vidya Balan,Sukhwinder Singh,Priyanka Chopra,Salman Khan,Safdar Hashmi",Halla Bol
",Rekha,Sajid Khan,Mahesh Manjrekar,Adhyayan Suman",Himmatwala
",Shatrughan Sinha,Rishi Kapoor,Dimple Kapadia",Ranbhoomi
",Dino Morea,Sheetal Menon,Milind Soman",Bhram
",Charles Macintosh",Raincoat
",Paresh Rawal,Pawan Malhotra,Sachin Tendulkar",Road to Sangam
",Rajit Kapoor,A.K. Hangal",Dattak
,Geet
",Kumar Gaurav,Bhima,Rati Agnihotri",Ek Se Bhale Do
",Amitabh Bachchan,Aruna Irani,Kader Khan,Vinod Khanna,Bharat Bhushan,Nirupa Roy",Khoon Pasina
",Irrfan Khan,Nawazuddin Siddiqui,Khalid Mohammed",The Lunchbox
",Zubeida,Zulfikar Ali Bhutto",Khamosh Pani
",Vinod Khanna,Mohsin Khan,Dimple Kapadia,J.P. Dutta,Amrita Singh,Shammi Kapoor,Poonam Dhillon",Batwara
",Annu Kapoor,Amrish Puri,Revathi,Priyadarshan,Sharat Saxena,Mohanlal",Muskurahat
",Vir Das,Raghu Dixit,Resul Pookutty,Sonu Nigam",Amit Sahni Ki List
",Amrish Puri,Manmohan Desai,Mithun Chakraborty,Meenakshi Sheshadri,Amitabh Bachchan,Nirupa Roy,Jaya Prada,Aruna Irani,Anu Malik,S. Ramanathan",Gangaa Jamunaa Saraswathi
",Chandrachur Singh,Arshad Warsi,Priya Gill,Amitabh Bachchan,A.K. Hangal",Tere Mere Sapne
",Shatrughan Sinha,Reena Roy,Subhash Ghai,Danny Denzongpa,Ajit Khan,Madan Puri,Sivaji Ganesan,Vishnuvardhan,Prem Nath",Kalicharan
",Salman Khan,Himesh Reshammiya,Yuvraj Vijay Singh,V. Manikandan,Deepak Dobriyal,Sooraj Barjatya",Prem Ratan Dhan Payo
",Ali Zafar,David Dhawan,Anupam Kher,Lilette Dubey,Rishi Kapoor",Chashme Baddoor
",Abhishek Bachchan,Bipasha Basu,Rohan Sippy,Aditya Pancholi,Deepika Padukone",Dum Maaro Dum
",Satyajit Ray,Mohan Agashe",Sadgati
",Shreyas Talpade,Tusshar Kapoor,Amrita Arora,Arshad Warsi,Kareena Kapoor,Anjana Sukhani,Rohit Shetty,Anthony Gonsalves,Murali Sharma,Mukesh Tiwari,Ashok Saraf,Laxmikant Berde",Golmaal Returns
",Hema Malini,Randhir Kapoor,Prakash Mehra,Vinod Khanna,Satyen Kappu,Simi Garewal",Haath Ki Safai
",Sharmila Tagore,Anand Bakshi",Mere Humsafar
",Zeenat Aman,Indrani Haldar",Strings Of Passion
",Raj Kumar,Mithun Chakraborty,Ranjeeta Kaur,Hema Malini",Sun Sajna
",Shahid Kapoor,Sonam Kapoor,Anupam Kher",Mausam
",Abhay Deol,Imtiaz Ali,Zoya Akhtar,Dibakar Banerjee,Arjun Rampal,Kalki Koechlin,Kabir,Heather Wilson",Abhay
",Vikram Bhatt,Shakti Kapoor,Akhilendra Mishra,Rajpal Yadav",Nishant
",Anubhav Sinha,Priyanshu Chatterjee,Sandali Sinha,Bhushan Kumar,Jagjit Singh,Neha Sharma,Shriya Saran,K.S. Chitra",Tum Bin - Love Will Find a Way
",Hrishitaa Bhatt,Gracy Singh",Deshdrohi
",Jeph Loeb,Clark Kent,Peter David,Otto Binder,Dan DiDio",Zor
",Raghu Jetley,Pooja Bhatt,Aamir Khan,Anupam Kher,Raghu,Gulshan Kumar,Mahesh Bhatt,Deepak Tijori,Anuradha Paudwal,Kumar Sanu",Dil Hai Ke Manta Nahin
",Manohar Singh,Rohan Yadav,Vinod Khanna,Karisma Kapoor,Salman Khan,O.P. Nayyar,Saeed Jaffrey,Moushumi Chatterjee,Reema Lagoo",Nishchaiy
",Konkona Sen Sharma,Irrfan Khan,Sunny Deol,Aryan Vaid",Right Yaaa Wrong
",Abhishek Bachchan,Nimmi,Rishi Kapoor,Supriya Pathak,Bhushan Kumar",All Is Well
",Hema Malini,Vijaya Nirmala,Parveen Babi,Ambareesh",Meri Aawaz Suno
",Pooja Bhatt,Sanjay Dutt,Mahesh Bhatt,Soni Razdan,Vasanth,Anuradha Paudwal,Deepak Tijori,Neelima Azeem",Sadak
",Vidya Balan,Emraan Hashmi,Mahesh Bhatt,Mohit Suri,Rahat Fateh Ali Khan",Hamari Adhuri Kahani
",Nagarjuna Akkineni,Jagapati Babu,Keerthi Reddy,Mani Sharma,Jayanth C. Paranjee",Sanam Tere Hain Hum
",Rajkumar Kohli,Anita Raj,Sunil Dutt,Poonam Dhillon,Dharmendra",Virodhi
",Paresh Rawal,Soha Ali Khan,Sonu Sood,Kunal Khemu,Mel Brooks,Johnny Lever",Dhoondte Reh Jaaoge
