Charc,Movie
",Guru Dutt,Majrooh Sultanpuri,Geeta Bali,Johnny Walker,O. P. Nayyar",Baaz
",Arbaaz Khan,Fardeen Khan,Kunal Khemu,Anjana Sukhani,Dia Mirza",Jai Veeru
",Raj Zutshi,Mansoor Khan,Thakur Jaswant Singh,Juhi Chawla,Nasir Hussain,Pawan Kalyan,Dalip Tahil,Udit Narayan",Qayamat Se Qayamat Tak
",Priyanka Chopra,Akshay Kumar,Kareena Kapoor,Yash Chopra,Subhash Ghai,Shyam Goel,Himesh Reshammiya,Paresh Rawal,Annu Kapoor",Aitraaz
",Charles Darwin",Hum
",Karisma Kapoor,Salman Khan,Paresh Rawal,Anupam Kher,Sonu Nigam,Alka Yagnik,Himani Shivpuri",Dulhan Hum Le Jayenge
",Rakesh Roshan,Rajesh Roshan,Anil Kapoor,Shilpa Shirodkar,Madhuri Dixit,Nitin Mukesh,Asha Bhosle,Lata Mangeshkar,Mohammed Aziz,Amit Kumar,Sadhana Sargam",Kishen Kanhaiya
",Helen Mirren,Julie Walters,Jay Leno,Nigel Cole,Tim Firth,Penelope Wilton,Celia Imrie,Annette Crosbie,Geraldine James,Linda Bassett,John Baker",Calendar Girls
",Anushka Sharma,Freida Pinto,Anupama Chopra",NH10
",Yash Chopra,Hema Malini,Dev Anand",Joshila
",Nimmi,Ram Gopal Varma,Manisha Koirala,Ravi Shankar,J. D. Chakravarthy",Bhoot Returns
",Shatrughan Sinha,Hema Malini,Prem Chopra,Shakti Kapoor,Anita Raj,Mithun Chakraborty",Hiraasat
",Kamal Haasan,Rekha",Meethi Meethi Baatein
",D. Rama Naidu,Shobhan Babu,Jeetendra,Jayachitra",Dildaar
",Ali Hashmi,Abhishek Kapoor,Chetan Bhagat,Amit Sadh,Amit Trivedi,Swanand Kirkire",Kai Po Che!
",Abhishek Bachchan,Amitabh Bachchan,Ram Gopal Varma,Prashant Pandey,Raj Thackeray,Bal Thackeray,Supriya Pathak",Sarkar Raj
",Girdharilal Om Prakash,Deven Verma,Kishore Kumar,Majrooh Sultanpuri,Lalita Pawar,Aruna Irani,Asit Sen,Asha Bhosle,Hrishikesh Mukherjee",Buddha Mil Gaya
",Akshay Kumar,Raveena Tandon,Naseeruddin Shah",Daava
",A. R. Rahman,Javed Akhtar,Ismail Darbar,Subhash Ghai,Amrish Puri,Antonia Bernath,Vivek Oberoi,Isha Sharvani,Ustad Rashid Khan,Saroj Khan",Kisna: The Warrior Poet
",Saeed Akhtar Mirza,Sriram Lagoo,Suresh Oberoi,Satish Shah,Rohini Hattangadi",Arvind Desai Ki Ajeeb Dastaan
",Saif Ali Khan,Raveena Tandon,Sunny Deol",Imtihaan
",Shaikh Ayaz,Blessy Chettiar,Anupama Chopra",Pyar ka Punchnama
",Bappi Lahiri,Jeetendra",Himmat Aur Mehanat
",Shahrukh Khan,Preity Zinta,Rani Mukerji,Anu Malik,Prem Chopra,Ajay Sharma,Dalip Tahil",Chori Chori Chupke Chupke
",Arjun Rampal,Amitabh Bachchan,Meera Chopra",Nastik
",Dev Anand,Zeenat Aman,Rehman,A.K. Hangal",Heera Panna
",President Paul von Hindenburg,Franz von Papen",Hitler
",Sanjay Dutt,Mithun Chakraborty,Anu Malik",Jeete Hain Shaan Se
",Kamal Haasan,Nirmala Rati Agnihotri,Suruli Rajan,Ilaiyaraaja",Do Dil Diwane
",Arjun Rampal,Darshan Jariwala,Arshad Warsi,Sanjay Gadhvi,Vashu Bhagnani,Allari Naresh,Jackky Bhagnani,Antara Mitra",Ajab Gazabb Love
