Charc,Movie,NewChar
",Ekta Kapoor,Shobha Kapoor,Erik Satie,Stephen King,Jeetendra,S. D. Burman,Bappi Lahiri",Ragini MMS,"['Ekta Kapoor', 'Shobha Kapoor', 'Erik Satie', 'Stephen King', 'Jeetendra', 'S. D. Burman', 'Bappi Lahiri']"
",S.P. Balasubramaniam",Chota Jadugar,['S.P. Balasubramaniam']
",Rajesh Khanna,Amitabh Bachchan,Anand Bakshi,Hrishikesh Mukherjee,Gulzar,Prem Nazir,Kishore Kumar,Rekha,Raza Murad,Simi Garewal,A.K. Hangal",Namak Haraam,"['Rajesh Khanna', 'Amitabh Bachchan', 'Anand Bakshi', 'Hrishikesh Mukherjee', 'Gulzar', 'Prem Nazir', 'Kishore Kumar', 'Rekha', 'Raza Murad', 'Simi Garewal', 'A.K. Hangal']"
",Amrita Arora,Tusshar Kapoor,Gracy Singh,Anupam Kher",Shart: The Challenge,"['Amrita Arora', 'Tusshar Kapoor', 'Gracy Singh', 'Anupam Kher']"
",Arvind Kejriwal",Aadmi,['Arvind Kejriwal']
",Aamir Khan,Santosh Sivan,Supriya Pathak",Raakh,"['Aamir Khan', 'Santosh Sivan', 'Supriya Pathak']"
",Rajinder Krishan,Pasupathi",Saheb Bahadur,"['Rajinder Krishan', 'Pasupathi']"
",Kabir,Kirti Reddy,Abhishek Bachchan,Kader Khan,Jennifer Aniston,Sanjay Suri,Johnny Lever,Jay Mohr",Tera Jadoo Chal Gayaa,"['Kabir', 'Kirti Reddy', 'Abhishek Bachchan', 'Kader Khan', 'Jennifer Aniston', 'Sanjay Suri', 'Johnny Lever', 'Jay Mohr']"
",Meenakshi Seshadri,Rishi Kapoor",Bade Ghar Ki Beti,"['Meenakshi Seshadri', 'Rishi Kapoor']"
",Bheem",Chhota Bheem And The Throne of Bali,['Bheem']
",Kabir,Rashid Khan,Suneel Darshan",Karle Pyaar Karle,"['Kabir', 'Rashid Khan', 'Suneel Darshan']"
",Anil Kapoor,Juhi Chawla,Shilpa Shirodkar,K. Ravi Shankar,Rohini Hattangadi",Benaam,"['Anil Kapoor', 'Juhi Chawla', 'Shilpa Shirodkar', 'K. Ravi Shankar', 'Rohini Hattangadi']"
",Eddie Brigati,Felix Cavaliere,David Brigati,Dino Danelli,Steve Van Zandt,Buzzy Feiten,Pat Benatar,Joe Bushkin,Louis Collin,Johnny Puleo",Rascals,"['Eddie Brigati', 'Felix Cavaliere', 'David Brigati', 'Dino Danelli', 'Steve Van Zandt', 'Buzzy Feiten', 'Pat Benatar', 'Joe Bushkin', 'Louis Collin', 'Johnny Puleo']"
",Marc Zuber,Neena Gupta,Shabana Azmi",Yeh Nazdeekiyan,"['Marc Zuber', 'Neena Gupta', 'Shabana Azmi']"
",Mahima Chaudhry,Dino Morea,Suman Ranganathan",Gumnaam  The Mystery,"['Mahima Chaudhry', 'Dino Morea', 'Suman Ranganathan']"
",Amol Palekar,Ranjeeta Kaur,Ashok Saraf",Damaad,"['Amol Palekar', 'Ranjeeta Kaur', 'Ashok Saraf']"
